Who is scraping?,Rank,University name,Wikidata ID,students total,undergraduates,postgraduates,Carnegie,coordinate location,Location,State,info school name,official website,URL scraped from,Generative AI statement text,Notes,Part of the uni
Ashwini,1,Princeton University,Q21578,"8,478 (Fall 2021)","5,321 (Fall 2021)","3,157 (Fall 2021)",R1,"40.345277777778,-74.656111111111",Princeton,NJ,,https://www.princeton.edu/,,"Our existing academic integrity regulations govern how students may use generative AI. As you know, Princeton requires students to state the work they submit in a course is original and only their own (RRR 2.4.3).  Just as students may not turn in someone else’s work as their own, students may not misrepresent as their own work any output generated by or derived from generative AI.

Students who’ve received permission to use generative AI must follow the requirements for acknowledging sources in academic work (outlined in RRR 2.4.6) and must adhere to the scholarly standards for an explicit statement of method.  Students who don’t follow these regulations will be subject to disciplinary action.

            We want to also clarify that, following our current policies about outside tutoring (RRR 2.4.5), undergraduates may not use AI tutoring bots or any tutoring service that isn’t authorized by the Office of the Dean of the College. 

We believe that detection and surveillance tools are not an effective means to identify or deter the use of generative AI.  They’re not reliable, and they appear to be biased.  We don’t recommend that faculty use these tools.

Instead, we hope that instructors and advisers will engage students in active conversation about the importance of academic integrity, original work, and source acknowledgment to Princeton’s academic mission.

We believe that the powers and risks of generative AI should only deepen the University’s commitment to a liberal arts education and the insistence on critical thinking it provides.  We will continue to assess the development of generative AI and will generate more comprehensive guidance as the year progresses.",,
Ashwini,3,Harvard University,Q13371,"21,613 (Fall 2022)","7,240 (Fall 2022)","14,373 (Fall 2022)",R1,"42.374443888889,-71.116943888889",Cambridge,MA,,https://harvard.edu,,"Generative AI is a type of artificial intelligence that can learn from and mimic large amounts of data to create content such as text, images, music, videos, code, and more, based on inputs or prompts. The University supports responsible experimentation with Generative AI tools, but there are important considerations to keep in mind when using these tools, including information security and data
 privacy, compliance, copyright, and academic integrity.
AI-generated content can be inaccurate, misleading, or entirely fabricated (sometimes called “hallucinations”) or may contain copyrighted material. You are responsible for any content that you publish that includes AI-generated material.

You should not enter data classified as confidential (Level 2 and above, including non-public research data, finance, HR, student records, medical information, etc.) into publicly-available Generative AI tools, in accordance with the University’s Information Security Policy. Information shared with Generative AI tools using default settings is not private and could expose proprietary or sensitive information to unauthorized parties.
Level 2 and above confidential data must only be entered into Generative AI tools that have been assessed and approved for such use by Harvard’s Information Security and Data Privacy office. 
Review your School’s student and faculty handbooks and policies. We expect that Schools will be developing and updating their policies as we better understand the implications of using Generative AI tools. In the meantime, faculty should be clear with students they’re teaching and advising about their policies on permitted uses, if any, of Generative AI in classes and on academic work. Students are also encouraged to ask their instructors for clarification about these policies as needed.

Generative AI has made it easier for malicious actors to create sophisticated phishing emails and “deepfakes” (i.e., video or audio intended to convincingly mimic a person’s voice or physical appearance without their consent) at a far greater scale. Continue to follow security best practices and report suspicious messages to phishing@harvard.edu.

Additionally, the University is working to ensure that tools procured on behalf of Harvard have the appropriate privacy and security protections and provide the best use of Harvard funds.

 If you have procured or are considering procuring generative AI tools or have questions, contact HUIT at ithelp@harvard.edu or read more about tools currently available or coming soon.
 Vendor generative AI tools must be assessed for risk by Harvard's Information Security and Data Privacy office prior to use.",,
Ashwini,3,Stanford University,Q41506,"17,246 (Fall 2021)","7,858 (Fall 2021)","9,388 (Fall 2021)",R1,"37.4275,-122.17",Stanford,CA,,https://www.stanford.edu/,,"The Board on Conduct Affairs (BCA) has been asked to address the Honor Code implications of generative AI tools such as ChatGPT, Bard, DALL-E, and Stable Diffusion. These are novel tools, and both students and instructors have been experimenting with their use in academic settings.  

While these tools have applications that foster student learning and understanding, these tools can also be used in ways that bypass key learning objectives.

To give sufficient space for instructors to explore uses of generative AI tools in their courses, and to set clear guidelines to students about what uses are and are not consistent with the Stanford Honor Code, the BCA has set forth the following policy guidance regarding generative AI in the context of coursework:

Absent a clear statement from a course instructor, use of or consultation with generative AI shall be treated analogously to assistance from another person. In particular, using generative AI tools to substantially complete an assignment or exam (e.g. by entering exam or assignment questions) is not permitted. Students should acknowledge the use of generative AI (other than incidental use) and default to disclosing such assistance when in doubt.

Individual course instructors are free to set their own policies regulating the use of generative AI tools in their courses, including allowing or disallowing some or all uses of such tools. Course instructors should set such policies in their course syllabi and clearly communicate such policies to students. Students who are unsure of policies regarding generative AI tools are encouraged to ask their instructors for clarification.

The BCA will continue to monitor developments in these tools and their use in academic settings and may update this guidance. Members of the community are encouraged to contact the BCA to provide input, suggestions, and comments on this policy.",,
Ashwini,5,Yale University,Q49112,"12,060 (Fall 2020)","4,703 (Fall 2020)","7,357 (Fall 2020)",R1,"41.311111111111,-72.926666666667",New Haven,CT,,https://yale.edu,,"Publicly available generative Artificial Intelligence (AI) tools such as ChatGPT, Bing, Midjourney, and Bard have garnered tremendous attention in the past year. The field of generative AI is developing rapidly. While its precise impacts are unknown, this technology will transform how we learn, teach, conduct research, and carry out daily tasks. We encourage you to experiment with AI tools. As you explore AI’s potential, please adhere to the following general guidelines, which align with existing university policies and uphold our institutional commitment to safety, security, and academic integrity. 
 

1.    Protect Yale’s confidential information and your own. Do not enter confidential or legally restricted data or any data that Yale’s data classification policy identifies as moderate or high-risk into an AI tool.  If you are not sure whether you should share certain data, please review Yale’s data classification policy. 
 

2.    Assume all information shared will be made public. Treat all information shared with an AI tool as if it will become public. Do not share information that is personal or sensitive, and be mindful that the information you input into an AI tool may be retained. 
 

3.    Always follow academic integrity guidelines and institutional standards of conduct. All students and faculty are expected to know and adhere to their school’s academic integrity policies. Faculty members are expected to provide clear instructions on the permitted use of generative AI tools for academic work and requirements for attribution. Likewise, students are expected to follow their instructors’ guidelines about permitted use of AI for coursework.
 

4.    Be alert for bias and inaccuracy. AI-generated responses can be biased, inaccurate, inappropriate, or may contain unauthorized copyrighted information. We are each responsible for the content of our work product. Always review and verify outputs generated by AI tools, especially before publication.
 

5.    Protect yourself and your credentials. Never share your Yale NetID and password with AI tools, and always be aware of phishing schemes. For information, tips, and toolkits on cybersafe practices, visit Yale’s Cybersecurity website, which also includes information about security policies and standards. 
 

6.    Seek support. The university is working to support procurement practices that coordinate shared interests and minimize institutional risk. If you are considering acquiring an AI product, please conduct an initial review of the tool to ensure that it conforms to institutional security requirements. Use Yale’s purchasing intake portal or contact purchasing.helpdesk@yale.edu. 

  
Generative AI is evolving quickly, as is institutional support for utilizing these tools. For up-to-date recommendations on teaching and learning, please visit the Poorvu Center’s webpage on “AI Guidance.” Detailed AI guidelines for staff are available on Yale’s data governance website. 

As a university community dedicated to exchanging ideas, disseminating knowledge, and fostering a climate for breakthrough discoveries, we will embrace technological tools and harness their power for innovation. We must do this safely and responsibly. We thank you for your efforts in adhering to these guidelines.",,
Ashwini,6,University of Pennsylvania,Q49117,"23,374 (Fall 2022)","9,760 (Fall 2022)","13,614 (Fall 2022)",R1,"39.95388888888889,-75.19305555555556",Philadelphia,PA,,https://www.upenn.edu/,,"Penn embraces innovations like generative artificial intelligence (AI) models in teaching, learning, research, and the effective stewardship of Penn’s resources.  To this end, this document provides guidelines for members of the Penn community who are using, or interested in using, AI in pursuit of Penn’s mission.

This document is scoped to generative AI, using large language models provided by third parties. Generative AI describes algorithms, such as ChatGPT and other large language models, that can be used to create new content, including text, code, and simulations.

This statement is not intended as legal advice or an exhaustive set of best practices and should not be viewed as a final policy. The AI field is rapidly evolving in terms of technology, deployment models, third-party relationships, terms of service, regulatory landscape, and academic-industry partnership structures. It is anticipated that this document will be updated regularly and interact with other sources of policy, ethics, and governing legal authority.

General Guidance for Penn Community (Educators, Staff, Researchers, and Students)
Transparency. Be transparent about the use of AI. Disclose when a work product was created wholly or partially using an AI tool and, if appropriate, how AI was used to create the work product.

Accountability. The user of AI should endeavor to validate the accuracy of created content with trusted first-party sources and monitor the reliability of that content. Users are accountable for their use of content created by AI and should be wary of misinformation or “hallucinations” by AI tools (e.g., citations to publications or source materials that do not exist or references that otherwise distort the truth).

Bias. When using AI, keep in mind that these tools are often trained on large, unmoderated bodies of text, such as text posted to the internet. This can result in the production of biased and other unintended content. The ability to avoid such biased content is still in the early stages of development.

Privacy & Contracts. Most AI tools and services use input and data from users of the tool to train the model. Additionally, existing tools may incorporate AI features in their service offerings. For this reason, users of AI should avoid sharing personal or sensitive data with the tool and should not input moderate or high-risk Penn data, as defined by the Penn Data Risk Classification, or intellectual property, without: careful consideration and understanding of the tool’s use of Penn data and the service provider’s stated rights to the data, including, but not limited to whether the service provider offers the option to opt-out of using customer’s data to train the AI; a contract in place to protect Penn data; and review by Penn’s Privacy Office and consultation with the Office of Information Security as coordinated by Procurement when moderate or high-risk data is involved. Consultation with the Penn Center for Innovation, where intellectual property is involved.

Patient Privacy Protection. It is not permissible under the Health Information Portability & Accountability Act (HIPAA) or Penn Medicine policy to share patient or research participant information in connection with open or public AI tools and services, such as ChatGPT. This is because, as currently configured, such open or public tools and services can use and share any data without regard to HIPAA restrictions and other protections. Therefore, individual patient data and patient data sets (even if de-identified) may not be exposed to open or public AI tools or services, absent institutional approval.  

Security. When using AI to write computer code or when creating new technology that leverages AI, it is important to be aware of the new kinds of cyberattacks that are being used against AI users.  Review the Office of Information Security guidance on these risks or consult with the Office of Information Security if in doubt.

Data Scraping. The rise of AI models has led to a significant increase in individuals and organizations scraping (i.e., copying) information posted on the internet for the purpose of training new AI models.  Be aware that any data posted publicly will likely be scraped and used in this way by third parties.  Similarly, while these practices are common, their legality and the potential consequences of these actions are currently being developed but remain unresolved at the time this guidance was issued.

Intellectual Property. Members of the Penn community should adhere to established principles of respect for intellectual property (IP), particularly copyrights when considering the creation of new data sets for training AI models.  Avoid uploading confidential and/or proprietary information to AI platforms prior to seeking patent or copyright protection, as doing so could jeopardize IP rights.

University Business Processes. While automating tasks using AI may improve operational efficiency for University business processes, oversight and review of the use of AI and verification of its outputs for these University business processes should be in place to ensure reliability, consistency, and accuracy.

For more information, including additional guidance for educators, students, and researchers, as well as FAQs for AI guidance, visit https://www.isc.upenn.edu/security/AI-guidance.
",,
Ashwini,7,California Institute of Technology,Q161562,"2,397 (2021–22)",987 (2021–22),"1,410 (2021–22)",R1,"34.1375,-118.125",Pasadena,CA,,https://caltech.edu,https://www.imss.caltech.edu/services/ai,"Guidance on the Use of Generative AI and Large Language Model Tools 
Caltech provides this initial guidance to encourage the responsible use of generative artificial intelligence (GenAI) and large language model (LLM) tools and technologies, such as OpenAI's ChatGPT and Dall-E and Google's Bard in research, education, and administrative work at Caltech.

As a research and education institute, committed to advancing the frontiers of science and engineering and expanding knowledge, we support a responsible, measured experimentation with and use of new technologies. While doing this, however, Caltech requires that you follow all existing applicable regulations and Institute policies. These include, but are not limited to, ensuring protection of confidential, personal, or business information and intellectual property, and adherence to the honor code, course requirements, research integrity, and publication ethics.

GenAI and LLM technologies have evolved rapidly in their use and application this past year and are expected to continue to evolve in ways society cannot predict. Likewise, our guidance for the appropriate use of these tools is written for the present moment and will likely evolve alongside the technology. In the interim, however, as you use GenAI and LLM technologies in your work at Caltech, we ask that you apply these four guiding principles to your practice: disclosure, data and information protection, content responsibility, and Caltech's honor code.

Disclosure: When using GenAI, always disclose promptly, or reference the use of GenAI tools and application plug-ins, as applicable. This transparent disclosure ensures that others are aware when GenAI was used to generate content and reduces misunderstandings regarding the source of information, potentially limiting claims of academic dishonesty or plagiarism. When using GenAI to write or publish, please make sure to follow the guidance provided by the course instructor or journal or manuscript publisher/editor. For example, some may require that the GenAI be included as an author, others may simply require acknowledgement.
Data and Information Protection: Federal, state, and local laws as well as Caltech policies may limit data that can be disclosed. Unless you are using a GenAI application that ensures separation of your entry from other entries and confidentiality (usually a paid service), uploading content into GenAI (Open GenAI), is a public disclosure. It is safest to assume data or queries uploaded into Open GenAI tools will become public information, unless otherwise indicated.

In order to protect Caltech data and information, do not enter, contribute, or otherwise input sensitive, confidential, or restricted information into open GenAI tools. This includes, but is not limited to, data covered by regulations such as FERPA and HIPAA, any intellectual property or unpublished research data, export-controlled data, and other sensitive HR, business, or administrative data. Caltech is considering a subscription to a restricted GenAI and will keep you apprised of its progress in securing such a service. In the meantime, Caltech has and continues to reserve the right to disable or limit access to AI companion tools in enterprise business software and applications, such as Zoom and Microsoft Office suites.
Content Responsibility: Remember that GenAI systems are fallible. Responses can be inaccurate, misleading, and even entirely fabricated. Therefore, you should always review and assess all output generated by GenAI tools for accuracy before relying on them or distributing them publicly.
Honor Code: Caltech's honor code underscores the importance of ethical conduct and fairness and extends to the use of GenAI tools and is stated as follows: ""No member of the Caltech community shall take unfair advantage of any other member of the Caltech community.""
Please note that we offer these guidelines in addition to the teaching resources that have already been provided by the Center for Teaching and Learning and Outreach.

The Institute's guidance promotes responsible and ethical use of GenAI and LLM tools at Caltech, and fosters a community that values transparency, integrity, privacy, accuracy, and fairness. Caltech may update its guidance as the technology and regulatory and commercial landscapes evolve. Thank you for adhering to these guidelines. If you have any questions about the use of this dynamic technology, please email gen_ai@caltech.edu.",,
Ashwini,7,Duke University,Q168751,"16,780 (fall 2021)","6,789 (fall 2021)","9,991 (fall 2021)",R1,"36.001111111111,-78.938888888889",Durham,NC,,https://duke.edu/,,"We suggest that faculty make it clear to students what their expectations are regarding the use of AI at the outset of the particular course. If AI is banned outright, explaining how the use of AI can constitute cheating or plagiarism is a must. If you allow AI, be sure to differentiate between acceptable vs. unacceptable use and proper citation. For example, you might allow the use of AI for generating early ideas and drafts and explain to students how to track changes as they edit the original AI text, but you might choose to expressly forbid the use of AI to develop other written assignments.You have the discretion to define how, if, and when generative AI may be used in your courses. For any assignments that are meant to be original work, you can ban the use of generative AI. Sample language might be “If an assignment requires you to use your own critical thinking, solve problems, or practice concepts or skills, do not use generative AI.” You may choose allow students to use generative AI on assignments if instructor permission is obtained in advance and with proper citations. The Duke Community Standard has been updated to include the unauthorized use of generative AI as a form of cheating. Updated on October 30, 2023 to reflect the changes in the Duke Community Standard.",,
Ashwini,9,Brown University,Q49114,"10,425 (Spring 2023)","7,125 (Spring 2023)","3,300 (Spring 2023)",R1,"41.82611111111111,-71.40305555555555",Providence,RI,,https://www.brown.edu/,,"Generative AI tools, such as chatbots (ChatGPT, Bing Chat) and art systems (Midjourney, DALL-E), have great potential for university research.  Brown investigators contemplating using generative AI tools in their own research should be cognizant of the various intellectual property (“IP”) issues related to its use.  

Technology typically outpaces policy and law, and generative AI (“GenAI”) is a particularly dynamic area of technology development.  The guidance on the intersection of generative AI and IP is an evolving area.  Any questions regarding the use of generative AI in your specific research program related to IP may be directed to  tech-innovations@brown.edu. 

Issues Arising from the Use of Generative AI
A. Public Disclosure/Confidentiality.
Public Disclosure. Patentability.  Any given GenAI may not provide sufficient protections to ensure data privacy or confidentiality.  Make sure the GenAI has terms of use stating that any data you provide and your results will not be made public, bearing in mind that any cloud-based GenAI can be vulnerable to public disclosure.  Public disclosure of an invention can preclude Brown’s ability to secure patent rights for that invention. 

Misappropriation of Research Results.  Make sure the GenAI terms of use prevent the GenAI company from using your research results for its own commercial purposes. Brown researcher’s data and results are typically considered confidential and proprietary until a decision is made to publish a manuscript. 

B. IP Ownership.  
Ownership issues pertaining to three distinct types of properties are addressed:  researcher developed generative AI models (the software algorithms designed to “learn” from training sets and generate outputs); researcher-curated training sets (the large data sets “learned” by GenAI systems); GenAI output results.  

Ownership of generative AI models.  Brown researchers may be involved in developing novel GenAI software and algorithms.  As a reminder, software source code is protectable by copyright and algorithms may be protectable by patents. 

Ownership of Brown Researcher-Curated Training Sets.  Often, the value of a GenAI tool is derived from its training sets that yield superior results. BTI works with researchers to protect proprietary rights in commercially valuable training sets, while preserving the ability to make it available for nonprofit research. 

Ownership of GenAI Results.  Make sure the GenAI tool has terms of use that state that the user will own output results.  Not all GenAI tools have terms of use that are clear or sufficient to ensure ownership. 

Infringement Risks in GenAI Results.  Safe practice is to only use GenAI systems that disclose the sources of its training sets.  Many GenAI tools do not disclose their training set sources and may contain material scraped from the internet without permissions, which amounts to copyright infringement. The output results of such GenAI tools may contain or reflect copyright infringement.",,
Ashwini,9,Johns Hopkins University,Q193727,"30,549 (2022)","5,318 (2022)","25,231 (2022)",R1,"39.32888888888889,-76.62055555555555",Baltimore,MD,,https://www.jhu.edu/,,"As the availability of generative AI grows and the quality of these tools improves, student and faculty perspectives on the use of generative AI become more diverse—with some expressing academic integrity concerns and others advocating for thoughtful ways to incorporate these tools into learning. The Whiting School of Engineering (WSE) recommends communicating with students about their perspectives and the various approaches that can be taken when using these tools in higher education. By engaging in these discussions, collectively, we can learn more about diverse perspectives and better understand the benefits and drawbacks of generative AI, whether it is permissible to use in your courses, and how these tools support or hinder learning and achievement of course objectives.

Policies in Higher Education
To address these issues, provide explicit guidelines within course syllabi that clearly outline whether and how AI tools can be incorporated into activities or assignments. If applicable, students should also be informed about the appropriate way to acknowledge the use of such tools in their submitted work. 

 Example syllabus guidelines: 

Students are encouraged to explore and experiment with generative AI tools for learning purposes, but any use in assessments must be clearly indicated and appropriately attributed.
The use of generative AI tools is strictly prohibited in all assessments to ensure fair evaluation of individual student performance.
Generative AI tools may be used in activities and assignments, but students must include a reflection on their use and how it impacted their understanding of the material. ",,
Ashwini,9,Northwestern University,Q309350,"23,410 (Fall 2021)","8,816 (Fall 2021)","14,684 (Fall 2021)",R1,"42.054853,-87.673945",Evanston,IL,,https://www.northwestern.edu/,,"In most cases, the data you share as part of your queries in generative AI tools will be accessible by others using the same tools. This is because generative AI learns by collecting, analyzing, and storing user-provided information. Therefore, University faculty, staff, students, and affiliates should not enter institutional data into any generative AI tools that have not been validated by the University for appropriate use and have explicit permission of the data provider.If your data is Level 1 (non-confidential and public data), uploading it to generative AI tools is permissible. To process data above Level 1, any generative AI tool must have been approved through Northwestern IT’s procurement and security review processes.At this time, the University has not approved additional applications or services for use at Northwestern with Level 2 and above data; however, several (including Bing Chat Enterprise and Microsoft Co-Pilot) are being evaluated for safety, security, and supportability. This page will be updated as products are approved for use.Use of generative AI for teaching and learning purposes is governed by the Provost’s Committee on Generative AI, in tandem with Northwestern IT. Guidance on generative AI tools and the impact on teaching and learning can be found on the Office of the Provost website.",,
